policy;scenario;short;coupled
Base;SSP5|SSP2|SSP1|SDP;;T
Base;SSP5|SSP2|SSP1|SDP;T;T
NDC;SSP5|SSP2|SSP1|SDP;;T
NDC;SSP5|SSP2|SSP1|SDP;T;T
NPi;SSP5|SSP2|SSP1|SDP;;T
NPi;SSP5|SSP2|SSP1|SDP;T;T
PkBudg900;SSP5|SSP2|SSP1|SDP;;T
PkBudg900;SSP5|SSP2|SSP1|SDP;T;T
PkBudg1100;SSP5|SSP2|SSP1|SDP;;T
PkBudg1100;SSP5|SSP2|SSP1|SDP;T;T
PkBudg1300;SSP5|SSP2|SSP1|SDP;;T
PkBudg1300;SSP5|SSP2|SSP1|SDP;T;T
NDC|NPi|PkBudg900|PkBudg1100|PkBudg1300;SSP1;;T
NDC|NPi|PkBudg900|PkBudg1100|PkBudg1300;SSP2;;T
NDC|NPi|PkBudg900|PkBudg1100|PkBudg1300;SSP5;;T
NDC|NPi|PkBudg900|PkBudg1000|PkBudg1100|PkBudg1300;SDP;;T
NDC|NPi|PkBudg900|PkBudg1100|PkBudg1300;SSP1;T;T
NDC|NPi|PkBudg900|PkBudg1100|PkBudg1300;SSP2;T;T
NDC|NPi|PkBudg900|PkBudg1100|PkBudg1300;SSP5;T;T
NDC|NPi|PkBudg900|PkBudg1000|PkBudg1100|PkBudg1300;SDP;T;T
