title;start;cm_iteration_max;c_solver_try_max;cm_bioenergy_tax;cm_SlowConvergence;optimization;cm_postproc;climate;cm_emiscen;cm_iterative_target_adj;cm_gdximport_target;c_budgetCO2FFI;carbonprice;cm_co2_tax_2020;cm_co2_tax_growth;cm_rcp_scen;cm_POPscen;cm_GDPscen;cm_oil_scen;cm_gas_scen;cm_coal_scen;c_feintensscen;c_techAssumptScen;cm_nucscen;c_abtrdy;c_abtcst;cm_ccsscen;c_bioliqscen;c_bioh2scen;c_ccscapratescen;c_biocostscen;cm_1stgen_phaseout;cm_bioenergymaxscen;cm_fetaxscen;cm_so2tax_scen;cm_multigasscen;c_EARLYRETIRE;cm_OILRETIRE;cm_LU_emi_scen;cm_tradecost_bio;c_SSP_forcing_adjust;cm_APscen;cm_startyear;path_gdx;path_gdx_bau;path_gdx_ref;path_gdx_opt;path_mif_bau
SSP2-R1-BASE-0-full;1;6;3;1.5;on;negishi;0;magicc;1;0;0;0;none;-1;1;rcp26;pop_SSP2;gdp_SSP2;2;2;2;0;1;2;2015;1;1;1;1;1;2;0;0;3;2;2;on;on;SSP2;2;forcing_SSP2;SSP2;2005;;;;;
SSP2-R1-BASE-0-full-nash;1;6;3;1.5;on;nash;0;magicc;1;0;0;0;none;-1;1;rcp26;pop_SSP2;gdp_SSP2;2;2;2;0;1;2;2015;1;1;1;1;1;2;0;0;3;2;2;on;on;SSP2;2;forcing_SSP2;SSP2;2005;;;;;
SSP2-R1-P-lo-full;1;6;3;1.5;on;negishi;0;magicc;9;0;0;0;exponential;20;1.03;rcp37;pop_SSP2;gdp_SSP2;2;2;2;0;1;2;2015;1;1;1;1;1;2;0;0;3;2;2;on;on;SSP2;2;forcing_SSP2;SSP2;2020;;;;;
SSP2-R1-P-hi-full;1;6;3;1.5;on;negishi;0;magicc;9;0;0;0;exponential;30;1.05;rcp26;pop_SSP2;gdp_SSP2;2;2;2;0;1;2;2015;1;1;1;1;1;2;0;0;3;2;2;on;on;SSP2;2;forcing_SSP2;SSP2;2020;;;;;
SSP2-R1-P-lo-none;1;6;3;1.5;on;negishi;0;magicc;9;0;0;0;exponential;20;1.03;rcp37;pop_SSP2;gdp_SSP2;2;2;2;0;1;2;2015;1;3;0;0;1;2;0;0;3;2;2;on;on;SSP2;2;forcing_SSP2;SSP2;2020;;;;;
SSP2-R1-P-hi-none;1;6;3;1.5;on;negishi;0;magicc;9;0;0;0;exponential;30;1.05;rcp26;pop_SSP2;gdp_SSP2;2;2;2;0;1;2;2015;1;3;0;0;1;2;0;0;3;2;2;on;on;SSP2;2;forcing_SSP2;SSP2;2020;;;;;
SSP2-R1-B-hi-full;1;6;3;1.5;on;negishi;0;magicc;6;4;0;1800;none;-1;0;rcp37;pop_SSP2;gdp_SSP2;2;2;2;0;1;2;2015;1;1;1;1;1;2;0;0;3;2;2;on;on;SSP2;2;forcing_SSP2;SSP2;2020;;;;;
SSP2-R1-B-hi-none;1;6;3;1.5;on;negishi;0;magicc;6;4;0;1800;none;-1;0;rcp37;pop_SSP2;gdp_SSP2;2;2;2;0;1;2;2015;1;3;0;0;1;2;0;0;3;2;2;on;on;SSP2;2;forcing_SSP2;SSP2;2020;;;;;
SSP2-R1-B-hi-nobeccs;1;6;3;1.5;on;negishi;0;magicc;6;4;0;1800;none;-1;0;rcp37;pop_SSP2;gdp_SSP2;2;2;2;0;1;2;2015;1;3;1;1;1;2;0;0;3;2;2;on;on;SSP2;2;forcing_SSP2;SSP2;2020;;;;;
SSP2-R1-B-hi-cost50;1;6;3;1.5;on;negishi;0;magicc;6;4;0;1800;none;-1;0;rcp37;pop_SSP2;gdp_SSP2;2;2;2;0;1;2;2015;1.5;1;1;1;1;2;0;0;3;2;2;on;on;SSP2;2;forcing_SSP2;SSP2;2020;;;;;
SSP2-R1-B-hi-ready2050;1;6;3;1.5;on;negishi;0;magicc;6;4;0;1800;none;-1;0;rcp37;pop_SSP2;gdp_SSP2;2;2;2;0;1;2;2050;1;1;1;1;1;2;0;0;3;2;2;on;on;SSP2;2;forcing_SSP2;SSP2;2020;;;;;
SSP2-R1-B-lo-full;1;6;3;1.5;on;negishi;0;magicc;6;4;0;1000;none;-1;0;rcp26;pop_SSP2;gdp_SSP2;2;2;2;0;1;2;2015;1;1;1;1;1;2;0;0;3;2;2;on;on;SSP2;2;forcing_SSP2;SSP2;2020;;;;;
SSP2-R1-B-lo-none;1;6;3;1.5;on;negishi;0;magicc;6;4;0;1000;none;-1;0;rcp26;pop_SSP2;gdp_SSP2;2;2;2;0;1;2;2015;1;3;0;0;1;2;0;0;3;2;2;on;on;SSP2;2;forcing_SSP2;SSP2;2020;;;;;
SSP2-R1-B-lo-nobeccs;1;6;3;1.5;on;negishi;0;magicc;6;4;0;1000;none;-1;0;rcp26;pop_SSP2;gdp_SSP2;2;2;2;0;1;2;2015;1;3;1;1;1;2;0;0;3;2;2;on;on;SSP2;2;forcing_SSP2;SSP2;2020;;;;;
SSP2-R1-B-lo-cost50;1;6;3;1.5;on;negishi;0;magicc;6;4;0;1000;none;-1;0;rcp26;pop_SSP2;gdp_SSP2;2;2;2;0;1;2;2015;1.5;1;1;1;1;2;0;0;3;2;2;on;on;SSP2;2;forcing_SSP2;SSP2;2020;;;;;
SSP2-R1-B-lo-ready2050;1;6;3;1.5;on;negishi;0;magicc;6;4;0;1000;none;-1;0;rcp26;pop_SSP2;gdp_SSP2;2;2;2;0;1;2;2050;1;1;1;1;1;2;0;0;3;2;2;on;on;SSP2;2;forcing_SSP2;SSP2;2020;;;;;
